Meme Name,Primary Audience,Humor Style,Keywords
whe i m in a competition and my opponent is,Students,Relatable,"['competition', 'challenge', 'opponent', 'anxiety', 'rivalry']"
who is that pokemon,Gamers,Witty,"['guessing', 'surprise', 'game', 'mystery', 'fun']"
Who Killed Hannibal,Young Adults,Sarcastic,"['blame', 'mystery', 'crime', 'accusation', 'guilt']"
Who wants change,Professionals,Witty,"['change', 'progress', 'improvement', 'effort', 'resistance']"
Why Can t I Hold All These Limes,General Public,Absurd,"['overwhelm', 'struggle', 'excess', 'failure', 'humor']"
Why Can t You Just Be Normal,Parents,Relatable,"['frustration', 'normality', 'behavior', 'conflict', 'expectation']"
Why is my sister s name Rose,Gen Z,Witty,"['family', 'naming', 'curiosity', 'comparison', 'question']"
Why would they do this,Millennials,Sarcastic,"['confusion', 'action', 'questioning', 'bewilderment', 'criticism']"
Why you no,Gen Z,Cringe,"['frustration', 'demand', 'question', 'expectation', 'disappointment']"
willem dafoe looking up,Young Adults,Absurd,"['surprise', 'reaction', 'expression', 'shock', 'humor']"
Will Smith punching Chris Rock,Millennials,Sarcastic,"['conflict', 'celebrities', 'shock', 'drama', 'reaction']"
Windows Error Message,Professionals,Witty,"['error', 'technology', 'frustration', 'failure', 'computer']"
Winter Is Coming,General Public,Sarcastic,"['anticipation', 'warning', 'Game of Thrones', 'preparation', 'serious']"
Wolverine Remember,Millennials,Relatable,"['nostalgia', 'longing', 'sadness', 'reflection', 'Marvel']"
Woman Shouting Knives,Young Adults,Absurd,"['drama', 'exaggeration', 'argument', 'intensity', 'conflict']"
Woman Yelling At Cat,Millennials,Absurd,"['miscommunication', 'conflict', 'reaction', 'defiance', 'disbelief']"
Won t somebody think of the children,Parents,Sarcastic,"['concern', 'exaggeration', 'parenting', 'drama', 'hyperbole']"
Woody and Buzz Lightyear Everywhere Widescreen,General Public,Witty,"['observation', 'realization', 'Toy Story', 'surprise', 'omnipresence']"
worship the lord,General Public,Wholesome,"['faith', 'devotion', 'religion', 'worship', 'spirituality']"
Worst day of my life,Young Adults,Sarcastic,"['misfortune', 'exaggeration', 'bad luck', 'disappointment', 'frustration']"
Worst mistake of my life,Young Adults,Relatable,"['regret', 'mistake', 'acknowledgment', 'disappointment', 'frustration']"
Xbox Achievement,Gamers,Witty,"['achievement', 'gaming', 'accomplishment', 'reward', 'Xbox']"
X All The Y,Millennials,Absurd,"['enthusiasm', 'exaggeration', 'excitement', 'overkill', 'hyperbole']"
X but Y,General Public,Witty,"['contrast', 'comparison', 'twist', 'unexpected', 'surprise']"
Yelling Beaver,Gen Z,Absurd,"['anger', 'animal', 'exaggeration', 'beaver', 'yelling']"
Yes Dear,Parents,Wholesome,"['agreement', 'submission', 'marriage', 'compromise', 'patience']"
Yhorm Dark Souls,Gamers,Witty,"['challenge', 'gaming', 'Dark Souls', 'boss battle', 'struggle']"
Yoda Begun The Clone War Has,General Public,Witty,"['Star Wars', 'Yoda', 'war', 'beginning', 'conflict']"
Young Thug and Lil Durk troubleshooting,Gen Z,Relatable,"['confusion', 'troubleshooting', 'music', 'technology', 'rap']"
You can excuse racism  blank ,Young Adults,Sarcastic,"['racism', 'excuse', 'criticism', 'social issue', 'controversy']"
You Guys always act like you re better than me,Students,Relatable,"['comparison', 'inferiority', 'resentment', 'conflict', 'rivalry']"
You Guys are Getting Paid,Professionals,Sarcastic,"['work', 'payment', 'surprise', 'injustice', 'job']"
You know  I m something of a scientist myself,General Public,Witty,"['self-deprecating', 'smart', 'ironic', 'humorous', 'sarcastic', 'science', 'knowledge', 'expert']"
You Merely Adopted X I Was Born In It Molded By It,Millennials,Sarcastic,"['adaptation', 'origin', 'experience', 'superiority', 'dark', 'intense']"
You re a wizard harry,Millennials,Wholesome,"['magic', 'surprise', 'Harry Potter', 'fantasy', 'revelation', 'fate']"
You re laughing,Gen Z,Cringe,"['mockery', 'disbelief', 'shock', 'sarcasm', 'judgment', 'humor']"
You Should Feel Bad Zoidberg,Millennials,Sarcastic,"['guilt', 'judgment', 'Futurama', 'criticism', 'blame', 'shame']"
You Were The Chosen One  Star Wars,Millennials,Relatable,"['betrayal', 'disappointment', 'Star Wars', 'failure', 'expectations']"
You wouldn t X a Y,Young Adults,Sarcastic,"['question', 'doubt', 'challenge', 'accusation', 'hypocrisy']"
Yo Dawg Heard You,Millennials,Relatable,"['irony', 'repetition', 'exaggeration', 'humor', 'informal']"
Yu Gi Oh Dramatic Crossroads,Gamers,Absurd,"['dilemma', 'decision', 'drama', 'Yu-Gi-Oh', 'tension', 'game']"
Y all Got Any More Of That,General Public,Relatable,"['desire', 'addiction', 'request', 'craving', 'humor']"
Y U No,Gen Z,Cringe,"['frustration', 'question', 'demand', 'exclamation', 'disbelief']"
Zombieland money tears,Young Adults,Sarcastic,"['wealth', 'crying', 'irony', 'money', 'humor', 'Zombieland']"
Zoolander Stare TT,Millennials,Witty,"['intense', 'stare', 'model', 'competition', 'Zoolander', 'humor']"
We did it  Patrick  We saved the City,Gen Z,Absurd,"['irony', 'failure', 'SpongeBob', 'misunderstanding', 'destruction', 'humor']"
